embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
7372800,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,175183872,176003072,175183872,8211456
7772160,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,185844224,7792640
7818240,188047360,188047360,188047360,188047360,188047360,188047360,188047360,188047360,188047360,188047360,188047360,188047360,7838720
4456448,73617408,73188352,73188352,73188352,73188352,73188352,73188352,73188352,73188352,74415104,73188352,73188352,3711488
4456448,74882560,74637824,74637824,74637824,74637824,74637824,74637824,74637824,74637824,74637824,75185664,75185664,3773440
5360640,115972096,115159040,115159040,115159040,115031552,115031552,115031552,115031552,115031552,115031552,115031552,115031552,5374976
4456448,79034880,79034880,79034880,79034880,79034880,79034880,79034880,79034880,79034880,79034880,79034880,79034880,3958272
7680000,182921216,182921216,182921216,182921216,182921216,182921216,182921216,182921216,182921216,182921216,182921216,182921216,7700480
8355840,204763136,204763136,204763136,204763136,204763136,204763136,204763136,204763136,204763136,204763136,204763136,204763136,8377856
8908800,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,223324160,8932352
4456448,67700224,67935744,68171264,67935744,67935744,68171264,67935744,67935744,68171264,67935744,67464704,67464704,3465216
4654080,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,96524288,4666368
12979200,380127232,380127232,380127232,380127232,380127232,380127232,380127232,381151232,381151232,380127232,379103232,379103232,13013504
6266880,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,140254208,6283264
15621120,499109376,499109376,499109376,499109376,499109376,499109376,498679296,498249216,498249216,498249216,498249216,498249216,15662080
8186880,199214592,199214592,199214592,199214592,199214592,199214592,199214592,199214592,199214592,199214592,199214592,199214592,8208384
13409280,397531136,397531136,397531136,397531136,397531136,397531136,397531136,397531136,397531136,397531136,397531136,397531136,13444608
9999360,264673792,263700992,264673792,263700992,264673792,263700992,264673792,263700992,264673792,263700992,264673792,263700992,10998272
10183680,270301184,269697024,270301184,269697024,270301184,269697024,270301184,269697024,270301184,269697024,270301184,269697024,10814464
4456448,76826624,76826624,76826624,76826624,76826624,76826624,76826624,76826624,76826624,76826624,76826624,76826624,3865600
4456448,76155392,76094976,76094976,76094976,76094976,76094976,76094976,76094976,76094976,76094976,76094976,76094976,3834880
5007360,108476928,109419008,109419008,109419008,109419008,109419008,109419008,108476928,106592768,105650688,105650688,105650688,5020672
9246720,234973696,234973696,234973696,234973696,234973696,234973696,234973696,234973696,234973696,234973696,234973696,234973696,9271296
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
8125440,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,197212160,8146944
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
4456448,84435968,84435968,84435968,84435968,84435968,84435968,84748288,84248576,84373504,84373504,84373504,83936256,4143104
7848960,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,7869440
8140800,197711872,197711872,197711872,197711872,197711872,197711872,197711872,197711872,197711872,197711872,197711872,197711872,8162304
9707520,251233280,251233280,251233280,251233280,251233280,251233280,251233280,251233280,251233280,251233280,251233280,251233280,9733120
11658240,324852736,324852736,324852736,324852736,324852736,324852736,324852736,324852736,324852736,324852736,324852736,324852736,11688960
6220800,139552768,139552768,139552768,139552768,139552768,139552768,139552768,139552768,139552768,139552768,139552768,139552768,6237184
7372800,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,173545472,175183872,176003072,175183872,8211456
6942720,160440320,160583680,160583680,160440320,160583680,160583680,160440320,160583680,160583680,160440320,160583680,160440320,6961152
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
8678400,215874048,215515648,216232448,215515648,216232448,215515648,216232448,215515648,216232448,215515648,216232448,215515648,9059840
9323520,237653504,237653504,237653504,237653504,237653504,237653504,237653504,237653504,237653504,237653504,237653504,237653504,9348096
4456448,84147712,84147712,84147712,84147712,84147712,84147712,84613632,83868160,84054528,84054528,84054528,83402240,4111872
6681600,154541056,154541056,155467776,154541056,154541056,155467776,154541056,154541056,155467776,154541056,154541056,155467776,6699008
3225600,62922752,62922752,62922752,62212096,63633408,62922752,62922752,62922752,62922752,62212096,62922752,62871552,3234304
9292800,236580352,236580352,236580352,236580352,236580352,236580352,236580352,236580352,236580352,236580352,236580352,236580352,9317376
