batch_size,input_length,embedding_layer,block_0_ln_1,block_0_attn,block_0_ln_2,block_0_mlp,block_1_ln_1,block_1_attn,block_1_ln_2,block_1_mlp,block_2_ln_1,block_2_attn,block_2_ln_2,block_2_mlp,block_3_ln_1,block_3_attn,block_3_ln_2,block_3_mlp,block_4_ln_1,block_4_attn,block_4_ln_2,block_4_mlp,block_5_ln_1,block_5_attn,block_5_ln_2,block_5_mlp,block_6_ln_1,block_6_attn,block_6_ln_2,block_6_mlp,block_7_ln_1,block_7_attn,block_7_ln_2,block_7_mlp,block_8_ln_1,block_8_attn,block_8_ln_2,block_8_mlp,block_9_ln_1,block_9_attn,block_9_ln_2,block_9_mlp,block_10_ln_1,block_10_attn,block_10_ln_2,block_10_mlp,block_11_ln_1,block_11_attn,block_11_ln_2,block_11_mlp,FC_layer
3,290,7036928,3080192,36355072,3106816,56552448,3106816,36184064,3106816,56552448,3106816,36450304,3173376,56619008,3173376,36516864,3173376,56619008,3173376,36516864,3173376,56619008,3173376,36516864,3173376,56619008,3173376,35703808,2679808,56125440,2679808,34049024,2679808,56414208,2968576,34586624,2679808,56125440,3111936,33576960,2679808,56125440,3421184,34318336,3421184,56125440,2679808,35059712,2679808,56866816,3421184
3,704,16356352,6505472,123769344,6505472,137005056,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472,123769344,6505472,136249344,6505472
3,315,6773760,2911232,38778368,2911232,65227776,2911232,38974976,2911232,65817600,2911232,38974976,2911232,65817600,2911232,38974976,2911232,65817600,2911232,39263744,2911232,66106368,3200000,39841280,3200000,65817600,2911232,39263744,2911232,66106368,3200000,39841280,3200000,65817600,2911232,38561280,3593216,60963840,2911232,37613056,2911232,60963840,2911232,37613056,2911232,60963840,2911232,38509056,2911232,60963840,2911232
3,273,6042624,2609152,31885824,2609152,52921344,2609152,31885824,2609152,53231616,2609152,32248320,2523136,52835328,2523136,31455744,2523136,52835328,2523136,30935552,2523136,52968448,2656256,31948288,2523136,52835328,2523136,31529472,2523136,52835328,2523136,31529472,2523136,52835328,2523136,31529472,2523136,52835328,2523136,31529472,2523136,52835328,2523136,31529472,2523136,52835328,2523136,31529472,2523136,53679104,2523136
3,422,9089024,3899392,57851904,3899392,81672192,3899392,57851904,4116480,81672192,3899392,58682368,4830208,81672192,3899392,59713536,4931584,81672192,3899392,58884096,3899392,82704384,4931584,58884096,4931584,81672192,3899392,58884096,3899392,82704384,4931584,58884096,4931584,81672192,3899392,58884096,3899392,82704384,4931584,58884096,4931584,81672192,3899392,58884096,3899392,82704384,4931584,58884096,4931584,81672192,3899392
3,707,15644672,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120,124604928,6533120,136829952,6533120
3,219,4867072,2103296,23508480,2103296,44462080,2103296,23508480,2024448,42384384,2024448,23690752,2273280,42384384,2024448,23611904,2273280,42384384,2024448,23611904,2497536,42384384,2024448,24060416,2497536,42384384,2024448,24060416,2497536,42384384,2024448,24060416,2497536,42384384,2024448,24060416,2497536,42384384,2024448,24702464,2497536,42384384,2024448,24023552,2024448,43645952,2024448,23114240,2024448,43645952,2024448
3,856,18765824,8089600,169358848,7910400,170781696,7910400,169358848,7910400,166689792,7910400,169358848,7910400,165666816,7910400,169358848,7910400,165666816,7910400,169358848,7910400,165666816,7910400,169358848,7910400,166666240,8909824,170358272,8909824,165666816,7910400,171357696,8909824,165666816,7910400,170358272,7910400,166666240,8909824,171357696,7910400,166666240,8909824,171357696,8909824,165666816,7910400,169358848,7910400,165666816,7910400
3,775,16685056,7161856,144230912,7161856,149990400,7161856,144230912,7161856,149990400,7161856,144230912,7161856,149990400,7161856,144230912,7161856,149990400,7161856,144230912,7161856,149990400,7161856,144626176,7161856,151966720,7557120,145416704,7161856,151966720,7557120,145416704,7161856,151966720,7557120,145021440,7161856,151571456,7161856,144230912,7161856,151571456,7161856,144230912,7161856,151571456,7161856,144230912,7161856,151571456,7161856
3,749,16177152,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216,138580480,7795712,144958464,6921216,138580480,7795712,145944576,6921216,139566592,7795712,144958464,6921216,138580480,7795712,144958464,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216,136831488,6921216,144958464,6921216
