embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
17584128,280477696,280477696,280477696,280477696,278020096,278020096,278020096,278020096,278020096,278020096,279003136,280969216,20480
17676288,281577472,281577472,281577472,281577472,280041472,280041472,280041472,280041472,280041472,280041472,280655872,281884672,20480
8078336,117097984,116576768,118661632,120746496,121713152,117543424,117543424,117543424,117543424,117543424,117543424,117543424,9728
8213504,119098880,118761984,120109568,121457152,121715200,119020032,119020032,119020032,119020032,119020032,119020032,119020032,9728
11973632,179622400,178747904,178747904,178747904,178747904,178747904,178747904,178747904,178747904,178747904,178286080,178286080,14336
8619008,125363200,125363200,125363200,125363200,125363200,125363200,125363200,125363200,125363200,125363200,125363200,125363200,10240
17399808,278291456,278291456,278291456,278412288,274353152,274473984,273990656,274111488,273990656,273990656,273990656,273990656,19968
19601920,306015744,305507840,304745984,304745984,304745984,304745984,304745984,304745984,304745984,304745984,304745984,304745984,22016
20155392,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329916416,331452416,332777472,23552
7537664,108751872,109591552,109591552,108332032,107912192,108210688,109068288,109068288,107912192,107912192,107912192,107912192,9216
10173952,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151780352,12288
28493824,537701376,537066496,537066496,537066496,535796736,533892096,533892096,533892096,533892096,533892096,533892096,533892096,33792
13786624,214371328,214767104,214767104,214767104,214767104,214767104,214767104,214767104,214767104,215043584,215320064,216149504,16384
34307072,687663104,687663104,687663104,687663104,684898304,684898304,684898304,684898304,684898304,685727744,686004224,686004224,40960
19432960,301018112,299158528,296369152,296369152,296369152,296369152,296369152,296369152,296369152,296369152,296369152,296369152,21504
29440000,557504512,557504512,557504512,557504512,557504512,557504512,557504512,557504512,557504512,557504512,557504512,557504512,35328
22040064,384822272,381719552,381719552,381719552,381719552,380685312,385856512,380685312,380685312,380685312,380685312,380685312,26112
22408704,392297472,390300672,390300672,390300672,390300672,389635072,392963072,389635072,389635072,389635072,389635072,389635072,26624
8416256,122114048,122053632,122834432,122536960,122536960,122592768,122053632,122053632,122053632,122053632,122053632,122053632,10240
